name,main_name,ra_deg,dec_deg,z,origin,status,umap_x,umap_y,w3_mjy,w4_mjy,w3snr,w4snr,wise_ccf,wise_ext,spherex_supplied,reference,spectral_history_note
P9599,J004404.87+013342.8,11.020311,1.561901,0.4280129,NGPS,no match in checked catalogs,19.395279,0.7111124,13.78,39.41,40.9,18.3,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P11113,J011216.59+341854.0,18.069126,34.315011,0.2271015,NGPS,no match in checked catalogs,15.195792,3.2314513,6.95,17.88,40.2,16.7,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P9227,J002736.28+320853.6,6.901186,32.148214,0.3767145,NGPS,no match in checked catalogs,9.567872,1.969553,10.02,17.39,42.7,15.9,,0,False,September 2026 NGPS; spectral-state audit pending,"Possible Halpha wing strengthening versus 2017, but Hbeta changes less; telluric and continuum systematics need resolution."
P11530,J012558.06+151813.7,21.49192,15.303813,0.1116921,NGPS,no match in checked catalogs,15.452505,4.27523,4.8,7.96,28.4,7.0,,0,False,September 2026 NGPS; spectral-state audit pending,Strong long-term spectral/color change versus 2019; NGPS resembles the redder 2023-2025 state. Test intrinsic fading against host/aperture effects; no confirmed turn-off.
P9506,J003352.71+202104.1,8.469615,20.351152,0.2315291,NGPS,no match in checked catalogs,16.026028,4.2871003,7.63,14.4,32.6,11.7,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P9584,J004459.13+192141.2,11.24638,19.36145,0.178817,NGPS,no match in checked catalogs,16.771776,0.511782,31.33,91.45,58.1,34.5,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P10381,J005346.16+223222.4,13.442318,22.539551,0.1485672,NGPS,literature match; confirmation needs audit,12.627486,3.4420285,13.57,19.3,48.8,21.1,,0,False,September 2026 NGPS; spectral-state audit pending,Broad Hbeta remains present. Hbeta-wing/[OIII] proxy is within about 3-5% of 2014 and 1-3% of 2024 across continuum choices. Possible recovery after published fading; fit the 2018 spectrum before claiming recurrence.
P9694,J004607.98+090720.9,11.533236,9.122485,0.2377224,NGPS,no match in checked catalogs,17.335318,0.24299605,23.52,74.81,57.0,32.4,,0,True,September 2026 NGPS; spectral-state audit pending,Strongest clean new broad-profile change in our triage: Hbeta-wing/continuum about 37-38% higher and wing/[OIII] about 32-33% higher than 2021. Broad lines already existed; not a confirmed turn-on.
P8577,SDSSJ000236.24-002724.7,0.65104611999999,-0.45687449,0.2909533,catalogue,catalog-confirmed CLAGN,18.431654,3.7097635,1.6638068668606818,4.8883477879211075,10.3,4.0,0000,0.0,False,Panda 2024,
P12392,SDSSJ013435.90+022839.8,23.649618,2.4777363,0.1767402,catalogue,catalog-confirmed CLAGN,18.972517,1.8597838,3.106725716464286,10.7241306627523,16.8,11.4,0000,0.0,False,Panda 2024,
P13022,SDSSJ021359.08-025352.8,33.496171,-2.898005,0.1681158,catalogue,catalog-confirmed CLAGN,16.354292,1.4283103,1.3228265788729143,2.961843428766497,10.1,3.1,0000,0.0,False,Panda 2024,
P13030,SDSSJ021359.79+004226.8,33.499144,0.70744802,0.1820198,catalogue,catalog-confirmed CLAGN,19.206514,9.458875,7.7607360404362,27.463892897917635,41.1,22.2,0000,0.0,False,Panda 2024; Dong 2025,
P13653,SDSSJ025003.04+010930.7,42.51267,1.158512,0.1938604,catalogue,catalog-confirmed CLAGN,21.659338,8.98166,3.058460756520504,6.4144894736808205,19.4,6.4,0000,0.0,False,Panda 2024,
P14937,SDSSJ074819.04+335310.9,117.07932,33.886369,0.2795614,catalogue,catalog-confirmed CLAGN,16.364042,3.4280136,1.3890021321324908,2.736289833040648,8.7,2.6,0000,0.0,False,Panda 2024,
S7196942801145450496,SDSSJ081319.34+460849.5,123.33053,46.147138,0.05382688,catalogue,catalog-confirmed CLAGN,21.666874,5.1295033,4.324171522953455,9.681933531326,23.6,9.6,0000,5.0,False,Panda 2024,
P16663,SDSSJ082323.88+422048.2,125.84955,42.346741,0.1514835,catalogue,catalog-confirmed CLAGN,15.177112,4.8541503,1.4096227894397428,4.821277141857293,10.7,4.3,0000,0.0,False,Panda 2024,
P16100,SDSSJ082942.66+415436.8,127.42778,41.910244,0.1263167,catalogue,catalog-confirmed CLAGN,17.728445,1.7605114,14.30549574072469,50.25301196893392,42.7,27.6,0000,0.0,False,Panda 2024,
P18770,SDSSJ090258.39+252915.1,135.74331,25.487543,0.2641396,catalogue,catalog-confirmed CLAGN,18.994741,5.483448,1.369944308420287,3.637157408285008,8.7,3.4,0000,1.0,False,Panda 2024,
P21240,SDSSJ093017.71+470721.0,142.57381,47.122518,0.1598634,catalogue,catalog-confirmed CLAGN,21.95162,6.2738504,4.1831449386467785,8.911731572651687,27.4,7.8,0000,0.0,False,Panda 2024,
P22470,SDSSJ102152.33+464515.6,155.46808,46.75435,0.2041101,catalogue,catalog-confirmed CLAGN,12.591836,5.044738,2.907387456358007,6.43816491121587,18.5,7.0,0000,0.0,False,Panda 2024,
P24541,SDSSJ104705.16+544405.8,161.77151,54.734966,0.2147729,catalogue,catalog-confirmed CLAGN,21.26045,8.620107,2.248551880260034,8.83002832649276,16.7,8.7,0000,0.0,False,Panda 2024; Dong 2025,
P24878,SDSSJ105058.42+241351.1,162.74344,24.230886,0.2695929,catalogue,catalog-confirmed CLAGN,19.897196,7.2829647,1.6184635106397804,4.344723037821555,10.9,4.7,0000,0.0,False,Panda 2024,
P24976,SDSSJ105325.40+302419.3,163.35586,30.405374,0.248329,catalogue,catalog-confirmed CLAGN,20.390139,5.48984,3.5702852226903117,9.971536809790326,21.4,9.8,0000,0.0,False,Panda 2024,
P3927,SDSSJ163620.38+475838.3,249.08493,47.977323,0.2358201,catalogue,catalog-confirmed CLAGN,21.112394,6.1144857,1.373734838831298,4.348726519009787,16.9,7.7,0000,0.0,False,Panda 2024,
P4403,SDSSJ172322.30+550413.8,260.84297,55.070505,0.2944843,catalogue,catalog-confirmed CLAGN,20.23988,2.6128347,3.3258519473240176,10.26034813709044,29.0,13.1,0000,0.0,False,Panda 2024,
P6080,SDSSJ222132.41-010928.7,335.38506,-1.157974,0.287858,catalogue,catalog-confirmed CLAGN,17.479465,2.8685777,1.6036253479851883,2.72121024143704,9.0,2.4,0000,0.0,False,Panda 2024,
P6399,SDSSJ224113.54-012108.8,340.30644,-1.352457,0.05809304,catalogue,catalog-confirmed CLAGN,13.143584,6.990297,0.8262337144593574,3.868673661859398,4.5,1.2,0000,1.0,False,Panda 2024; Guo 2025,turn-on
P7349,SDSSJ230614.18-010024.4,346.5591,-1.006792,0.2665102,catalogue,catalog-confirmed CLAGN,21.613146,3.2396834,3.8080523702071902,5.581643527868439,20.4,5.3,0000,0.0,False,Panda 2024,
P7580,SDSSJ231625.39-002225.5,349.10582,-0.373741,0.297421,catalogue,catalog-confirmed CLAGN,22.117176,8.9521475,1.702561907367136,2.671542557055726,10.3,2.4,0000,0.0,False,Panda 2024,
J004459.09-010629.3,SDSS J004459.09-010629.3,11.2461781,-1.1081164,0.228215,catalogue,catalog-confirmed CLAGN,16.526667,6.4058537,1.834437468838671,8.023467481367744,11.6,7.1,0000,0.0,False,Zeltyn 2024; Guo 2025,turn-off
J012025.45+142727.9,SDSS J012025.45+142727.9,20.1060442,14.4577202,0.263752,catalogue,catalog-confirmed CLAGN,7.7496986,1.7996728,0.3825629541317215,3.241619952274117,2.0,0.5,0000,0.0,False,Zeltyn 2024,
J014209.02-005050.0,SDSS J014209.02-005050.0,25.53758333333333,-0.8472222222222222,0.132549,catalogue,catalog-confirmed CLAGN,18.345102,4.7940025,2.1832472026820455,4.179863474454813,13.4,3.6,0000,0.0,False,Zeltyn 2024,
J015854.50+001307.3,SDSS J015854.50+001307.3,29.7270546,0.2186782,0.145004,catalogue,catalog-confirmed CLAGN,9.473265,2.7987754,0.4612144573916497,2.683873837218904,1.9,1.3,0000,0.0,False,Zeltyn 2024,
P13071,SDSS J020649.48-041452.7,31.70615,-4.2479731,0.1387455,catalogue,catalog-confirmed CLAGN,14.271473,1.7453151,0.9933514095763224,3.567484515737715,8.6,1.9,0000,0.0,False,Zeltyn 2024,
P13614,SDSS J024508.68+003710.7,41.286162,0.61965302,0.2992097,catalogue,catalog-confirmed CLAGN,20.082724,4.8103547,1.2097702834587631,3.0729967205490976,7.8,2.4,0000,0.0,False,Zeltyn 2024; Guo 2025,turn-on
P14388,SDSS J075934.95+322143.3,119.89561,32.362025,0.2688801,catalogue,catalog-confirmed CLAGN,19.781212,4.545661,2.8022244133581227,6.642967026999164,16.8,6.1,0000,0.0,False,Zeltyn 2024,
J083716.47+035606.1,SDSS J083716.47+035606.1,129.3186495,3.935036,0.063482,catalogue,catalog-confirmed CLAGN,17.44925,5.6159196,1.3179620719101868,3.936969921474808,8.8,3.2,0000,1.0,False,Zeltyn 2024; Guo 2025,turn-on
J084528.72-002723.3,SDSS J084528.72-002723.3,131.36966666666666,-0.4564722222222222,0.154388,catalogue,catalog-confirmed CLAGN,16.270332,8.878396,1.4746973926246207,3.314073200478236,9.0,1.2,0000,0.0,False,Zeltyn 2024,
P17863,SDSS J084637.65+000024.5,131.65687,0.0068042429,0.2574892,catalogue,catalog-confirmed CLAGN,21.262209,9.569691,0.9842443091124806,3.531523469422549,6.7,3.5,0000,0.0,False,Zeltyn 2024,
J085321.89+010216.7,SDSS J085321.89+010216.7,133.3412255,1.0381045,0.213946,catalogue,catalog-confirmed CLAGN,6.6146507,0.37673825,0.3882423547554556,3.2475967400324377,2.4,1.1,0000,0.0,False,Zeltyn 2024,
J085337.26+014303.6,SDSS J085337.26+014303.6,133.40525,1.717666666666667,0.058189,catalogue,catalog-confirmed CLAGN,15.70971,4.7620573,6.348964699476412,6.582063939220109,26.8,4.6,0000,4.0,False,Zeltyn 2024,
P18409,SDSS J085512.13+032950.6,133.80055,3.4973794,0.1240456,catalogue,catalog-confirmed CLAGN,21.656076,6.0772357,3.1557523361264237,7.790441967690193,18.1,6.9,0000,0.0,False,Zeltyn 2024,
J090254.12+015429.1,SDSS J090254.12+015429.1,135.7255355,1.9081339,0.166121,catalogue,catalog-confirmed CLAGN,20.208042,5.758733,1.8009552116311556,3.44161350145617,11.2,3.2,0000,0.0,False,Zeltyn 2024,
P20040,SDSS J090315.11+010623.1,135.81294,1.106421,0.1216571,catalogue,catalog-confirmed CLAGN,19.119394,8.340072,2.1513095859516698,4.942675477171467,14.0,3.7,0000,0.0,False,Zeltyn 2024,
P20104,SDSS J090459.92-004206.9,136.24968,-0.70191903,0.2824394,catalogue,catalog-confirmed CLAGN,12.53122,0.95296675,0.6961501361058648,1.9840933284321525,4.8,-0.5,0000,0.0,False,Zeltyn 2024; Guo 2025,turn-off
P19923,SDSS J090826.74+002137.4,137.11143,0.36039354,0.1625743,catalogue,catalog-confirmed CLAGN,18.894804,6.569727,1.702561907367136,4.433657050351948,9.2,3.9,0000,0.0,False,Zeltyn 2024,
J091459.16+050243.4,SDSS J091459.16+050243.4,138.74649999999997,5.045388888888889,0.142516,catalogue,catalog-confirmed CLAGN,17.10871,5.1285686,1.6394678795202262,3.955142148964679,10.5,3.6,0000,4.0,False,Zeltyn 2024,
J091649.41+000031.6,SDSS J091649.41+000031.6,139.20587500000002,0.0087777777777777,0.222549,catalogue,catalog-confirmed CLAGN,18.95074,6.812999,1.459832111218887,3.868673661859398,9.4,3.5,0000,0.0,False,Zeltyn 2024,
J092629.23-000605.7,SDSS J092629.23-000605.7,141.62179166666667,-0.1015833333333333,0.201324,catalogue,catalog-confirmed CLAGN,17.55703,2.1306562,0.3580163926977344,2.7012333115101206,2.5,0.5,0000,0.0,False,Zeltyn 2024; Guo 2025,turn-on
P19478,SDSS J092739.77+050312.6,141.91571,5.0534891,0.1260615,catalogue,catalog-confirmed CLAGN,22.118294,2.2179255,4.536311952159023,10.606255790971382,20.6,6.2,,,False,Zeltyn 2024,
P21605,SDSS J093209.96+040319.9,143.04148,4.0555216,0.2758048,catalogue,catalog-confirmed CLAGN,12.605681,3.5999188,0.8262337144593574,3.908067864938314,5.3,1.5,0000,0.0,False,Zeltyn 2024,
J093322.83+010120.9,SDSS J093322.83+010120.9,143.34512499999997,1.0224722222222222,0.159933,catalogue,catalog-confirmed CLAGN,20.296722,7.4533,2.004023972724154,3.2897439490699867,11.9,3.1,0000,0.0,False,Zeltyn 2024,
J132457.29+480241.3,SDSS J132457.29+480241.3,201.2387044,48.0448098,0.271847,catalogue,catalog-confirmed CLAGN,14.432336,1.9219167,2.9532683586462003,7.826401013989055,21.8,7.9,0000,0.0,False,Zeltyn 2024,
J140037.13+622132.9,SDSS J140037.13+622132.9,210.1546665,62.3591208,0.075293,catalogue,catalog-confirmed CLAGN,19.024578,3.3113813,5.570612025889009,15.50108496661806,36.3,16.5,0000,1.0,False,Zeltyn 2024,
J140515.59+542458.0,SDSS J140515.59+542458.0,211.3149852,54.4161421,0.083262,catalogue,catalog-confirmed CLAGN,15.718041,6.3314505,0.5892545061996758,1.7602003247629925,5.2,2.3,0000,0.0,False,Zeltyn 2024,
P2524,SDSS J161003.12+543627.9,242.51302,54.607739,0.2674668,catalogue,catalog-confirmed CLAGN,9.63906,1.6702843,0.9503923073338256,1.3352484939242908,13.8,2.5,h000,0.0,False,Zeltyn 2024; Guo 2025,turn-off
P2759,SDSS J162829.18+432948.6,247.12158,43.496824,0.2602845,catalogue,catalog-confirmed CLAGN,12.943722,3.5144198,1.7009945118231369,4.53275344642878,16.0,5.3,0000,0.0,False,Zeltyn 2024; Guo 2025,turn-off
P5214,SDSS J212928.91+000415.9,322.37044,0.071074,0.180379,catalogue,catalog-confirmed CLAGN,17.56432,2.374141,1.20532152497358,4.541110781868765,7.2,4.0,0000,0.0,False,Zeltyn 2024,
J213517.46+002020.4,SDSS J213517.46+002020.4,323.8228037,0.3389924,0.181268,catalogue,catalog-confirmed CLAGN,11.372337,3.2377186,0.3818588957882519,2.838978455693595,2.9,1.1,0000,0.0,False,Zeltyn 2024,
P6078,SDSS J220946.60-003822.8,332.44415,-0.63966065,0.08893511,catalogue,catalog-confirmed CLAGN,20.641047,7.8615284,0.6384147499142503,3.16491533598905,1.4,0.7,0000,0.0,False,Zeltyn 2024,
J222306.32+194431.6,SDSS J222306.32+194431.6,335.7764073,19.7421232,0.259936,catalogue,catalog-confirmed CLAGN,22.047976,8.335078,0.7528403923855624,2.081431375279563,5.4,0.1,0000,0.0,False,Zeltyn 2024,
P7773,SDSS J233650.69+004042.5,354.21121,0.67846812,0.1615142,catalogue,catalog-confirmed CLAGN,10.195002,1.0678815,0.3832683105938315,4.23021164833204,2.5,1.1,0000,0.0,False,Zeltyn 2024,
J235720.19+004012.8,SDSS J235720.19+004012.8,359.3345308,0.6691964,0.220698,catalogue,catalog-confirmed CLAGN,9.537842,0.0820882,0.2907387456358006,2.8494569290572023,2.0,0.6,,,False,Zeltyn 2024,
P9190,SDSS J000904.54-103428.7,2.2689224,-10.574638,0.2406433,catalogue,catalog-confirmed CLAGN,21.248787,9.166704,2.3072938707361264,7.993962318671664,14.8,7.2,0000,0.0,False,MacLeod 2019,turn-off / dimming
P14829,SDSS J074511.98+380911.3,116.29993,38.153136,0.2364799,catalogue,catalog-confirmed CLAGN,17.583252,5.396437,1.8159459265521751,4.203026195656514,12.1,4.1,0000,0.0,False,MacLeod 2019,turn-off / dimming
P2205,SDSS J160111.26+474509.6,240.29692,47.752656,0.2970119,catalogue,catalog-confirmed CLAGN,17.854864,7.4666376,1.0174261890313523,3.0392197081450942,13.3,5.2,0000,0.0,False,MacLeod 2019,turn-off / dimming
P2010,SDSS J161711.42+063833.4,244.2976,6.6426377,0.2290608,catalogue,catalog-confirmed CLAGN,20.7362,9.411467,4.080401630032831,10.76371268820662,24.3,9.1,0000,0.0,False,MacLeod 2019; Guo 2025; Dong 2025,turn-off / dimming; turn-off
P5700,SDSS J220537.71-071114.5,331.40716,-7.1873683,0.2949554,catalogue,catalog-confirmed CLAGN,14.406039,-1.9972664,4.404563873749254,10.288737730303945,22.2,9.0,0000,0.0,False,MacLeod 2019,turn-off / dimming
P8499,SDSS J002326.09+282112.8,5.85873470000001,28.353559,0.2425975,catalogue,catalog-confirmed CLAGN,17.051329,5.1063967,3.9473252473249847,13.000561101930344,24.0,12.4,0000,0.0,False,Guo 2025,turn-on
P11368,SDSS J011311.82+013542.4,18.299252,1.5951329,0.2375141,catalogue,catalog-confirmed CLAGN,20.417747,9.211615,3.73510583701632,7.942589124521938,17.8,6.9,0000,0.0,False,Guo 2025,turn-on
S451599417217148928,SDSS J014153.98+010505.6,25.474919,1.0848757,0.101273,catalogue,catalog-confirmed CLAGN,14.858616,6.2228875,4.833958441642086,18.982879756304396,24.4,14.7,dd00,1.0,False,Guo 2025,turn-on
P13076,SDSS J020621.53+034328.8,31.589731,3.7246835,0.1685483,catalogue,catalog-confirmed CLAGN,18.84911,8.712304,1.0517267314050245,3.422646897322078,7.4,0.4,0000,0.0,False,Guo 2025,turn-off
S751063784839211008,SDSS J020653.74-075231.2,31.723925,-7.8753293,0.1841094,catalogue,catalog-confirmed CLAGN,15.764536,2.0800917,3.748891854639997,5.638480681340128,28.1,6.6,0000,1.0,False,Guo 2025,turn-off
P14240,SDSS J072656.08+410136.1,111.73364,41.026688,0.129403,catalogue,catalog-confirmed CLAGN,20.298077,1.2506307,6.372398289596311,14.059248161550814,30.1,9.7,0000,5.0,False,Guo 2025,turn-on
S1354587100204263424,SDSS J074605.71+221642.0,116.52378,22.278334,0.08250966,catalogue,catalog-confirmed CLAGN,17.505291,4.770365,1.654637689035812,2.383208816145407,11.0,2.1,0000,1.0,False,Guo 2025,turn-on
P15133,SDSS J074707.09+465109.1,116.77954,46.852568,0.2761149,catalogue,catalog-confirmed CLAGN,11.029036,2.340407,1.352392994387741,2.3012409669679914,10.5,2.7,0000,0.0,False,Guo 2025,turn-off
P15138,SDSS J075102.37+241019.0,117.75988,24.171957,0.2465642,catalogue,catalog-confirmed CLAGN,20.8015,8.003429,3.106725716464286,8.053081545581115,17.5,6.3,0000,0.0,False,Guo 2025,turn-off
S966171417630500864,SDSS J075356.05+265323.9,118.48354,26.88996,0.1339374,catalogue,catalog-confirmed CLAGN,16.264286,9.102708,2.5533062739824866,5.228319229683058,15.4,4.9,0000,0.0,False,Guo 2025,turn-on
S1193462191815157760,SDSS J075652.81+291942.3,119.22006,29.328403,0.06764613,catalogue,catalog-confirmed CLAGN,21.450861,6.0817733,10.420844427737514,20.265722745185993,37.8,15.2,0000,5.0,False,Guo 2025,turn-on
P15786,SDSS J081120.57+141243.2,122.83573,14.212006,0.1534968,catalogue,catalog-confirmed CLAGN,17.678755,2.913435,1.291525283027621,3.0392197081450942,8.2,2.7,0000,0.0,False,Guo 2025,turn-on
P16757,SDSS J083125.11+560925.2,127.85466,56.157012,0.2322228,catalogue,catalog-confirmed CLAGN,21.687666,5.213994,1.4464482899759232,4.413286246599117,9.1,5.3,0000,0.0,False,Guo 2025,turn-off
P18057,SDSS J083646.86+151259.0,129.19525,15.216402,0.2798637,catalogue,catalog-confirmed CLAGN,19.716537,2.1340628,1.758340228848287,6.7727040239855665,8.2,4.6,0000,0.0,False,Guo 2025,turn-on
P17546,SDSS J085733.28+140253.4,134.38871,14.048177,0.1335247,catalogue,catalog-confirmed CLAGN,6.883664,0.39631507,0.6961501361058648,4.31680167776867,1.9,1.1,0000,0.0,False,Guo 2025,turn-off
P20124,SDSS J091437.38+012623.5,138.65573,1.4398614,0.18705,catalogue,catalog-confirmed CLAGN,15.810645,6.838029,0.8239538974723123,2.9700386214618435,5.5,2.5,0000,0.0,False,Guo 2025,turn-on
P19015,SDSS J092918.34+041933.3,142.32646,4.3259342,0.246639,catalogue,catalog-confirmed CLAGN,18.52821,5.9063725,2.627259144844736,7.039828784167373,12.5,5.8,0000,0.0,False,Guo 2025,turn-off
P23362,SDSS J101830.10+490347.9,154.62544,49.063312,0.168174,catalogue,catalog-confirmed CLAGN,21.013216,2.860364,0.6980763299265346,2.3440242307909225,4.9,2.5,0000,0.0,False,Guo 2025,turn-on
P24129,SDSS J102114.83+051735.2,155.31181,5.2931244,0.2422901,catalogue,catalog-confirmed CLAGN,21.581234,7.7263904,1.1468402121224857,5.839317595297382,3.9,1.1,0000,0.0,False,Guo 2025,turn-off
P1503,SDSS J154806.06+194100.3,237.02526,19.683435,0.2348483,catalogue,catalog-confirmed CLAGN,16.97788,6.8335896,4.336136172581504,8.409343580022083,29.9,10.1,0000,0.0,False,Guo 2025,turn-off
P468,SDSS J155340.73+241759.7,238.41973,24.299939,0.2594693,catalogue,catalog-confirmed CLAGN,16.341795,6.021386,2.238220722806801,5.791113767130205,19.4,7.5,0000,0.0,False,Guo 2025,turn-off
P2827,SDSS J162956.09+274800.1,247.48373,27.800051,0.221178,catalogue,catalog-confirmed CLAGN,20.89267,3.612334,4.364182589431395,10.26034813709044,30.1,8.4,0000,0.0,False,Guo 2025,turn-on
S6798374504957759488,SDSS J163812.80+402828.3,249.55334,40.474547,0.07137702,catalogue,catalog-confirmed CLAGN,18.278887,4.8217416,0.5684639289629339,3.2326753884014456,5.0,1.9,0000,0.0,False,Guo 2025,turn-on
S3319160973218048000,SDSS J164016.94+271747.2,250.07059,27.296441,0.1130461,catalogue,catalog-confirmed CLAGN,19.256702,8.058111,2.167219563318872,4.26935331479432,14.0,4.2,0000,0.0,False,Guo 2025,turn-on
P3178,SDSS J164331.90+304835.5,250.88297,30.809879,0.1840353,catalogue,catalog-confirmed CLAGN,21.326653,9.741598,12.288614273120343,34.352796505839805,48.3,27.3,0000,0.0,False,Guo 2025,turn-off
P3502,SDSS J165435.83+330251.4,253.64935,33.04761,0.1218863,catalogue,catalog-confirmed CLAGN,20.20198,9.369986,17.13574190899348,30.308336248895586,53.8,23.2,h000,5.0,False,Guo 2025,turn-off
S4592561752907206656,SDSS J211359.66+064730.2,318.49858,6.7917241,0.1838129,catalogue,catalog-confirmed CLAGN,17.65461,2.4935002,3.3845654155279132,6.594199723104588,20.0,5.0,0000,0.0,False,Guo 2025,turn-on
S6708182667706519552,SDSS J221044.76+245958.1,332.6865,24.999458,0.1202702,catalogue,catalog-confirmed CLAGN,14.7550125,2.6494,0.8984686176930459,3.6640559506541055,6.9,1.9,0000,4.0,False,Guo 2025,turn-on
P5800,SDSS J221925.57+272806.4,334.85658,27.468468,0.2281151,catalogue,catalog-confirmed CLAGN,8.234408,1.9404382,0.8089150439867434,2.644612807198816,5.6,0.4,0000,0.0,False,Guo 2025,turn-off
P7235,SDSS J231056.05+011923.3,347.73355,1.323126,0.1972,catalogue,catalog-confirmed CLAGN,20.806372,5.8262157,1.180056801519121,2.1996931216221074,7.1,2.1,0000,0.0,False,Guo 2025,turn-off
P3513,g1630074-001136,247.530801,-0.1934756,0.0466,catalogue,catalog-confirmed CLAGN,12.928104,6.587144,5.4387977897324795,13.488451564831063,21.4,10.2,hh00,5.0,False,Amrutha 2024,turn-off
P8633,J000253.52+210109.9,0.723013890000004,21.019414,0.1464123,catalogue,catalog-confirmed CLAGN,19.579533,2.5859516,5.795660167407293,12.110500635178632,30.2,10.4,0000,0.0,False,Dong 2025,turn-off
S931136853933844480,J083132.25+364617.3,127.88438,36.77146,0.1950098,catalogue,catalog-confirmed CLAGN,19.800804,4.772878,1.298682272780647,3.3881458467773307,8.9,1.3,0000,0.0,False,Dong 2025,turn-on
P17881,J083826.50+371906.7,129.61042,37.318528,0.2110508,catalogue,catalog-confirmed CLAGN,18.079697,7.6960416,1.8565340222817337,6.373266760842515,13.3,5.1,0000,0.0,False,Dong 2025,turn-on
P17096,J084016.42+220624.6,130.06843,22.106829,0.2043731,catalogue,catalog-confirmed CLAGN,13.909792,3.426551,1.8126039095924336,9.136126343135658,5.9,4.6,0000,0.0,False,Dong 2025,turn-off
P18292,J084957.78+274729.0,132.49078,27.791377,0.2990335,catalogue,catalog-confirmed CLAGN,22.415806,8.463966,2.1453735026708616,4.417352905926485,13.5,3.8,0000,0.0,False,Dong 2025,turn-off
P17151,J085359.05+212803.4,133.49606,21.46761,0.08415925,catalogue,catalog-confirmed CLAGN,16.022985,5.5561132,5.1321922011746715,13.563197844212729,23.5,11.2,0000,0.0,False,Dong 2025,turn-on
S2582989284545947648,J093730.32+260232.1,144.37635,26.042256,0.1621944,catalogue,catalog-confirmed CLAGN,15.533689,5.699173,1.467921773572717,2.534907385842341,8.2,0.6,0000,0.0,False,Dong 2025,turn-on
P20769,J094838.42+403043.7,147.16009,40.512147,0.04683929,catalogue,catalog-confirmed CLAGN,15.618533,9.314601,18.702639914450913,42.811662866615784,46.3,17.7,0000,5.0,False,Dong 2025,turn-off
